DAC,ADC0,ADC1,ADC2,ADC3
2376,22978,7158,5930,-1
2380,23022,7191,5957,-1
2384,23061,7228,5989,-2
2388,23094,7260,6013,-1
2392,23101,7267,6020,-1
2396,23101,7269,6022,-1
2400,23102,7268,6023,-1
2404,23105,7270,6025,-1
2408,23104,7271,6026,-1
2412,23105,7272,6026,-1
2416,23106,7273,6026,-2
2420,23108,7274,6027,-2
2424,23108,7275,6028,-1
2428,23110,7276,6029,-1
2432,23109,7278,6029,-1
2436,23110,7279,6030,-1
2440,23111,7281,6030,-1
2444,23114,7282,6031,-1
2448,23110,7280,6031,-1
2452,23113,7283,6031,-1
2456,23114,7284,6032,-1
2460,23113,7282,6031,-1
2464,23113,7283,6032,-1
2468,23114,7286,6032,-1
2472,23112,7283,6032,-1
2476,23113,7283,6032,-1
2480,23113,7283,6033,-1
2484,23114,7283,6032,-1
2488,23113,7285,6032,-1
2492,23113,7284,6031,-2
2496,23113,7284,6032,-2
2500,23113,7284,6033,-1
2504,23113,7283,6032,-1
2508,23111,7285,6033,-1
2512,23112,7284,6033,-2
2516,23115,7287,6035,-1
2520,23116,7290,6035,-1
2524,23114,7287,6036,-1
2528,23115,7288,6035,-1
2532,23112,7284,6034,-2
2536,23115,7287,6035,-1
2540,23114,7287,6036,-1
2544,23112,7287,6036,-1
2548,23114,7287,6037,-1
2552,23113,7286,6036,-1
2556,23113,7288,6037,-1
2560,23112,7287,6037,-1
2564,23114,7288,6037,-2
2568,23113,7288,6036,-2
2572,23111,7287,6036,-1
2576,23112,7288,6037,-1
2580,23113,7288,6038,-1
2584,23112,7290,6038,-1
2588,23112,7288,6036,-2
2592,23113,7290,6037,-1
2596,23111,7288,6037,-1
2600,23113,7290,6037,-2
2604,23113,7290,6038,-1
2608,23111,7290,6038,-1
2612,23113,7292,6038,-1
2616,23109,7288,6036,-1
2620,23112,7291,6038,-2
2624,23111,7290,6038,-1
2628,23110,7290,6038,-2
2632,23110,7290,6036,-1
2636,23108,7288,6037,-1
2640,23106,7288,6036,-1
2644,23105,7287,6036,-2
2648,23106,7287,6037,-1
2652,23107,7290,6037,-1
2656,23108,7289,6036,-1
2660,23109,7291,6037,-1
2664,23111,7292,6037,-1
2668,23107,7290,6036,-1
2672,23109,7291,6037,-1
2676,23110,7292,6037,-1
2680,23110,7292,6036,-1
2684,23110,7292,6036,-1
2688,23108,7291,6036,-2
2692,23109,7293,6036,-1
2696,23111,7294,6037,-2
2700,23109,7293,6037,-1
2704,23111,7296,6037,-1
2708,23111,7297,6037,-1
2712,23112,7298,6038,-1
2716,23112,7297,6038,-2
2720,23112,7298,6037,-1
2724,23113,7299,6037,-1
2728,23110,7297,6038,-1
2732,23108,7295,6039,-2
2736,23108,7295,6038,-1
2740,23107,7293,6038,-1
2744,23104,7294,6038,-1
2748,23106,7294,6038,-2
2752,23107,7296,6039,-1
2756,23107,7295,6039,-2
2760,23106,7295,6041,-1
2764,23103,7293,6039,-1
2768,23104,7293,6038,-1
2772,23104,7293,6039,-1
2776,23101,7291,6039,-1
2780,23103,7293,6040,-1
2784,23100,7292,6040,-1
