DAC,ADC0,ADC1,ADC2,ADC3
2588,22654,6134,6112,0
2592,22654,6135,6112,0
2596,22655,6134,6112,-1
2600,22654,6134,6113,0
2604,22653,6133,6111,0
2608,22652,6134,6112,-1
2612,22653,6134,6112,0
2616,22651,6135,6112,-1
2620,22651,6134,6112,-1
2624,22651,6135,6110,-1
2628,22650,6135,6112,0
2632,22651,6135,6112,-1
2636,22649,6134,6112,0
2640,22651,6136,6113,-1
2644,22652,6136,6114,-1
2648,22651,6136,6113,-1
2652,22651,6136,6113,0
2656,22650,6135,6112,0
2660,22652,6136,6113,0
2664,22650,6135,6113,0
2668,22649,6134,6112,0
2672,22650,6134,6112,0
2676,22649,6134,6112,-1
2680,22650,6135,6114,0
2684,22650,6135,6112,-1
2688,22648,6134,6114,0
2692,22648,6135,6112,0
2696,22649,6134,6112,0
2700,22650,6135,6112,0
2704,22649,6135,6113,0
2708,22650,6135,6112,0
2712,22650,6135,6113,0
2716,22650,6136,6113,0
2720,22650,6134,6112,0
2724,22651,6135,6113,-1
2728,22649,6135,6113,0
2732,22650,6136,6113,0
2736,22650,6136,6113,0
2740,22650,6136,6113,0
2744,22651,6136,6113,0
2748,22651,6136,6113,0
2752,22651,6137,6113,0
2756,22650,6135,6113,0
2760,22650,6136,6114,0
2764,22649,6135,6113,0
2768,22650,6137,6114,0
2772,22650,6136,6114,0
2776,22650,6136,6113,-1
2780,22649,6136,6114,-1
2784,22649,6136,6113,0
