DAC,ADC0,ADC1,ADC2,ADC3
2672,22086,6215,6102,-2
2676,22086,6214,6101,-2
2680,22084,6213,6101,-1
2684,22084,6213,6101,-2
2688,22085,6214,6101,-2
2692,22084,6213,6101,-2
2696,22083,6213,6101,-2
2700,22083,6214,6102,-2
2704,22083,6213,6102,-2
2708,22082,6213,6100,-2
2712,22084,6215,6104,-2
2716,22083,6215,6103,-2
2720,22082,6215,6103,-2
2724,22080,6213,6102,-2
2728,22081,6214,6103,-2
2732,22082,6215,6104,-2
2736,22083,6215,6103,-2
2740,22082,6214,6104,-2
2744,22081,6215,6103,-2
2748,22080,6213,6102,-2
2752,22079,6213,6102,-2
2756,22080,6214,6102,-2
2760,22079,6214,6103,-2
2764,22078,6214,6102,-2
2768,22077,6214,6102,-2
2772,22078,6213,6101,-2
2776,22078,6212,6102,-2
2780,22079,6214,6103,-2
2784,22078,6214,6102,-2
