Index,deltaT_us,distance_cm,timestamp_ms
333,625.0,10.72,17314.0
334,624.0,10.7,17367.0
335,625.0,10.72,17419.0
336,631.0,10.82,17470.0
337,631.0,10.82,17522.0
338,625.0,10.72,17574.0
339,625.0,10.72,17627.0
340,624.0,10.7,17679.0
341,631.0,10.82,17730.0
342,631.0,10.82,17782.0
343,624.0,10.7,17835.0
344,625.0,10.72,17887.0
345,625.0,10.72,17939.0
346,648.0,11.11,17991.0
347,655.0,11.23,18042.0
348,654.0,11.22,18095.0
349,649.0,11.13,18147.0
350,649.0,11.13,18199.0
351,649.0,11.13,18251.0
352,625.0,10.72,18304.0
353,631.0,10.82,18355.0
354,655.0,11.23,18407.0
355,625.0,10.72,18459.0
356,651.0,11.16,18511.0
357,649.0,11.13,18564.0
358,631.0,10.82,18615.0
359,654.0,11.22,18667.0
360,649.0,11.13,18719.0
361,625.0,10.72,18771.0
362,649.0,11.13,18824.0
363,625.0,10.72,18876.0
364,658.0,11.28,18927.0
365,655.0,11.23,18979.0
366,625.0,10.72,19032.0
367,625.0,10.72,19084.0
368,649.0,11.13,19136.0
369,649.0,11.13,19188.0
370,655.0,11.23,19239.0
371,657.0,11.27,19292.0
372,625.0,10.72,19344.0
373,648.0,11.11,19396.0
374,651.0,11.16,19448.0
375,631.0,10.82,19500.0
376,631.0,10.82,19552.0
377,624.0,10.7,19604.0
378,625.0,10.72,19656.0
379,625.0,10.72,19708.0
380,625.0,10.72,19761.0
381,655.0,11.23,19812.0
382,655.0,11.23,19864.0
383,649.0,11.13,19916.0
384,649.0,11.13,19969.0
385,649.0,11.13,20021.0
386,631.0,10.82,20073.0
387,631.0,10.82,20124.0
388,625.0,10.72,20176.0
389,625.0,10.72,20229.0
390,652.0,11.18,20281.0
391,651.0,11.16,20333.0
392,655.0,11.23,20384.0
393,657.0,11.27,20436.0
394,652.0,11.18,20489.0
395,652.0,11.18,20541.0
396,652.0,11.18,20593.0
397,649.0,11.13,20645.0
398,631.0,10.82,20697.0
399,631.0,10.82,20749.0
400,625.0,10.72,20801.0
401,625.0,10.72,20853.0
402,625.0,10.72,20905.0
403,631.0,10.82,20957.0
404,631.0,10.82,21009.0
405,625.0,10.72,21061.0
406,625.0,10.72,21113.0
407,625.0,10.72,21166.0
408,631.0,10.82,21217.0
409,631.0,10.82,21269.0
410,648.0,11.11,21321.0
411,649.0,11.13,21373.0
412,649.0,11.13,21426.0
413,649.0,11.13,21478.0
414,655.0,11.23,21529.0
415,631.0,10.82,21581.0
416,649.0,11.13,21634.0
417,649.0,11.13,21686.0
418,649.0,11.13,21738.0
419,625.0,10.72,21790.0
420,655.0,11.23,21841.0
421,655.0,11.23,21894.0
422,649.0,11.13,21946.0
423,649.0,11.13,21998.0
424,649.0,11.13,22050.0
425,625.0,10.72,22103.0
426,655.0,11.23,22154.0
427,655.0,11.23,22206.0
428,649.0,11.13,22258.0
429,649.0,11.13,22310.0
430,625.0,10.72,22363.0
431,655.0,11.23,22415.0
432,631.0,10.82,22466.0
433,653.0,11.2,22518.0
434,648.0,11.11,22571.0
435,649.0,11.13,22623.0
436,625.0,10.72,22675.0
437,631.0,10.82,22726.0
438,655.0,11.23,22778.0
439,649.0,11.13,22831.0
440,625.0,10.72,22883.0
441,649.0,11.13,22935.0
442,649.0,11.13,22987.0
443,632.0,10.84,23038.0
444,631.0,10.82,23091.0
445,625.0,10.72,23143.0
446,625.0,10.72,23195.0
447,625.0,10.72,23247.0
448,631.0,10.82,23299.0
449,631.0,10.82,23351.0
450,648.0,11.11,23403.0
451,624.0,10.7,23455.0
452,625.0,10.72,23507.0
453,631.0,10.82,23560.0
454,631.0,10.82,23611.0
455,649.0,11.13,23663.0
456,649.0,11.13,23715.0
457,649.0,11.13,23768.0
458,649.0,11.13,23820.0
459,631.0,10.82,23871.0
460,631.0,10.82,23923.0
461,625.0,10.72,23975.0
462,625.0,10.72,24028.0
463,625.0,10.72,24080.0
464,631.0,10.82,24132.0
465,631.0,10.82,24183.0
466,625.0,10.72,24236.0
467,625.0,10.72,24288.0
468,625.0,10.72,24340.0
469,625.0,10.72,24392.0
470,631.0,10.82,24443.0
471,655.0,11.23,24496.0
472,649.0,11.13,24548.0
473,649.0,11.13,24600.0
474,649.0,11.13,24652.0
