Index,deltaT_us,distance_cm,timestamp_ms
321,5788.0,99.26,18361.0
322,5712.0,97.96,18418.0
323,5788.0,99.26,18476.0
324,5712.0,97.96,18533.0
325,5738.0,98.41,18590.0
326,5785.0,99.21,18648.0
327,5766.0,98.89,18705.0
328,5793.0,99.35,18761.0
329,5793.0,99.35,18819.0
330,5745.0,98.53,18876.0
331,5738.0,98.41,18933.0
332,5737.0,98.39,18991.0
333,5737.0,98.39,19048.0
334,5787.0,99.25,19105.0
335,5739.0,98.42,19163.0
336,5787.0,99.25,19220.0
337,5718.0,98.06,19276.0
338,5768.0,98.92,19334.0
339,5767.0,98.9,19391.0
340,5787.0,99.25,19448.0
341,5787.0,99.25,19506.0
342,5711.0,97.94,19563.0
343,5711.0,97.94,19620.0
344,5710.0,97.93,19678.0
345,5718.0,98.06,19734.0
346,5743.0,98.49,19791.0
347,5768.0,98.92,19849.0
348,5787.0,99.25,19906.0
349,5787.0,99.25,19963.0
350,5711.0,97.94,20021.0
351,5760.0,98.78,20078.0
352,5737.0,98.39,20135.0
353,5737.0,98.39,20193.0
354,5768.0,98.92,20249.0
355,5766.0,98.89,20306.0
356,5742.0,98.48,20364.0
357,5760.0,98.78,20421.0
358,5787.0,99.25,20478.0
359,5737.0,98.39,20536.0
360,5709.0,97.91,20593.0
361,5737.0,98.39,20651.0
362,5717.0,98.05,20708.0
363,5715.0,98.01,20764.0
364,5792.0,99.33,20822.0
365,5786.0,99.23,20879.0
366,5786.0,99.23,20936.0
367,5710.0,97.93,20994.0
368,5736.0,98.37,21051.0
369,5737.0,98.39,21108.0
370,5709.0,97.91,21166.0
371,5716.0,98.03,21222.0
372,5765.0,98.87,21279.0
373,5717.0,98.05,21337.0
374,5786.0,99.23,21394.0
375,5710.0,97.93,21451.0
376,5711.0,97.94,21509.0
377,5736.0,98.37,21566.0
378,5735.0,98.36,21623.0
379,5792.0,99.33,21680.0
380,5717.0,98.05,21737.0
381,5766.0,98.89,21794.0
382,5761.0,98.8,21852.0
383,5708.0,97.89,21909.0
384,5786.0,99.23,21966.0
385,5735.0,98.36,22024.0
386,5760.0,98.78,22081.0
387,5716.0,98.03,22137.0
388,5716.0,98.03,22195.0
389,5717.0,98.05,22252.0
390,5735.0,98.36,22309.0
391,5786.0,99.23,22367.0
392,5759.0,98.77,22424.0
393,5709.0,97.91,22481.0
394,5714.0,98.0,22539.0
395,5792.0,99.33,22595.0
396,5767.0,98.9,22652.0
397,5765.0,98.87,22710.0
398,5736.0,98.37,22767.0
399,5736.0,98.37,22824.0
400,5710.0,97.93,22882.0
401,5711.0,97.94,22939.0
402,5786.0,99.23,22996.0
403,5716.0,98.03,23053.0
404,5792.0,99.33,23110.0
405,5742.0,98.48,23168.0
406,5737.0,98.39,23225.0
407,5735.0,98.36,23282.0
408,5736.0,98.37,23340.0
409,5710.0,97.93,23397.0
410,5709.0,97.91,23454.0
411,5766.0,98.89,23511.0
412,5716.0,98.03,23568.0
413,5743.0,98.49,23625.0
414,5786.0,99.23,23683.0
415,5710.0,97.93,23740.0
416,5786.0,99.23,23797.0
417,5786.0,99.23,23855.0
418,5710.0,97.93,23912.0
419,5760.0,98.78,23969.0
420,5742.0,98.48,24026.0
421,5743.0,98.49,24083.0
422,5716.0,98.03,24140.0
423,5759.0,98.77,24198.0
424,5710.0,97.93,24255.0
425,5710.0,97.93,24312.0
426,5736.0,98.37,24370.0
427,5785.0,99.21,24427.0
428,5716.0,98.03,24483.0
429,5793.0,99.35,24541.0
430,5715.0,98.01,24598.0
431,5786.0,99.23,24655.0
432,5759.0,98.77,24713.0
433,5760.0,98.78,24770.0
434,5710.0,97.93,24827.0
435,5736.0,98.37,24885.0
436,5717.0,98.05,24941.0
437,5792.0,99.33,24998.0
438,5790.0,99.3,25056.0
439,5742.0,98.48,25113.0
440,5786.0,99.23,25170.0
441,5736.0,98.37,25228.0
442,5710.0,97.93,25285.0
443,5762.0,98.82,25342.0
444,5710.0,97.93,25400.0
445,5767.0,98.9,25456.0
446,5816.0,99.74,25513.0
447,5715.0,98.01,25571.0
448,5709.0,97.91,25628.0
449,5786.0,99.23,25686.0
450,5737.0,98.39,25743.0
451,5711.0,97.94,25800.0
452,5736.0,98.37,25858.0
453,5786.0,99.23,25915.0
454,5716.0,98.03,25971.0
455,5766.0,98.89,26029.0
456,5786.0,99.23,26086.0
457,5786.0,99.23,26143.0
458,5711.0,97.94,26201.0
459,5736.0,98.37,26258.0
460,5737.0,98.39,26315.0
461,5759.0,98.77,26373.0
462,5765.0,98.87,26429.0
463,5743.0,98.49,26486.0
464,5742.0,98.48,26544.0
465,5736.0,98.37,26601.0
466,5710.0,97.93,26658.0
467,5711.0,97.94,26716.0
468,5786.0,99.23,26773.0
469,5759.0,98.77,26830.0
470,5742.0,98.48,26888.0
471,5717.0,98.05,26944.0
472,5766.0,98.89,27001.0
473,5787.0,99.25,27059.0
474,5760.0,98.78,27116.0
475,5737.0,98.39,27173.0
476,5712.0,97.96,27231.0
477,5736.0,98.37,27288.0
478,5736.0,98.37,27345.0
479,5742.0,98.48,27402.0
480,5716.0,98.03,27459.0
481,5786.0,99.23,27516.0
482,5736.0,98.37,27574.0
