Index,deltaT_us,distance_cm,timestamp_ms
329,5813.0,99.69,18825.0
330,5795.0,99.38,18882.0
331,5771.0,98.97,18938.0
332,5795.0,99.38,18996.0
333,5748.0,98.58,19053.0
334,5765.0,98.87,19110.0
335,5789.0,99.28,19168.0
336,5812.0,99.68,19225.0
337,5741.0,98.46,19282.0
338,5523.0,94.72,19340.0
339,5818.0,99.78,19396.0
340,5796.0,99.4,19453.0
341,5771.0,98.97,19511.0
342,5812.0,99.68,19568.0
343,5592.0,95.9,19625.0
344,5812.0,99.68,19683.0
345,5789.0,99.28,19740.0
346,5811.0,99.66,19798.0
347,5788.0,99.26,19855.0
348,5790.0,99.3,19912.0
349,5448.0,93.43,19969.0
350,5766.0,98.89,20026.0
351,5766.0,98.89,20083.0
352,5789.0,99.28,20141.0
353,5766.0,98.89,20198.0
354,5812.0,99.68,20255.0
355,5767.0,98.9,20313.0
356,5812.0,99.68,20370.0
357,5549.0,95.17,20426.0
358,5766.0,98.89,20484.0
359,5766.0,98.89,20541.0
360,5274.0,90.45,20597.0
361,5771.0,98.97,20655.0
362,5323.0,91.29,20712.0
363,5742.0,98.48,20769.0
364,5741.0,98.46,20827.0
365,5772.0,98.99,20883.0
366,5198.0,89.15,20940.0
367,5148.0,88.29,20997.0
368,5765.0,98.87,21054.0
369,5811.0,99.66,21111.0
370,5616.0,96.31,21169.0
371,5765.0,98.87,21226.0
372,5770.0,98.96,21283.0
373,5793.0,99.35,21340.0
374,5794.0,99.37,21397.0
375,5770.0,98.96,21454.0
376,5715.0,98.01,21512.0
377,5616.0,96.31,21569.0
378,5764.0,98.85,21626.0
379,5739.0,98.42,21684.0
380,5548.0,95.15,21740.0
381,5816.0,99.74,21797.0
382,5786.0,99.23,21855.0
383,5763.0,98.84,21912.0
384,5663.0,97.12,21969.0
385,5786.0,99.23,22027.0
386,5809.0,99.62,22084.0
387,5764.0,98.85,22141.0
388,5809.0,99.62,22199.0
389,5816.0,99.74,22256.0
390,5743.0,98.49,22312.0
391,5838.0,100.12,22370.0
392,5793.0,99.35,22427.0
393,5745.0,98.53,22484.0
394,5786.0,99.23,22542.0
395,5810.0,99.64,22599.0
396,5762.0,98.82,22657.0
397,5739.0,98.42,22714.0
398,5763.0,98.84,22771.0
399,5786.0,99.23,22829.0
400,5786.0,99.23,22886.0
401,5792.0,99.33,22942.0
402,5791.0,99.32,23000.0
403,5815.0,99.73,23057.0
404,5814.0,99.71,23114.0
405,5792.0,99.33,23172.0
406,5737.0,98.39,23229.0
407,5786.0,99.23,23286.0
408,5807.0,99.59,23344.0
409,5737.0,98.39,23401.0
410,5761.0,98.8,23458.0
411,5738.0,98.41,23516.0
412,5807.0,99.59,23573.0
413,5742.0,98.48,23629.0
414,5593.0,95.92,23687.0
415,5785.0,99.21,23744.0
416,5762.0,98.82,23801.0
417,5761.0,98.8,23859.0
418,5807.0,99.59,23916.0
419,5785.0,99.21,23973.0
420,5808.0,99.61,24031.0
421,5808.0,99.61,24088.0
422,5768.0,98.92,24144.0
423,5791.0,99.32,24202.0
424,5791.0,99.32,24259.0
425,5814.0,99.71,24316.0
426,5831.0,100.0,24374.0
427,5763.0,98.84,24431.0
428,5738.0,98.41,24488.0
429,5763.0,98.84,24546.0
430,5809.0,99.62,24603.0
431,5763.0,98.84,24660.0
432,5810.0,99.64,24718.0
433,5764.0,98.85,24775.0
434,5745.0,98.53,24832.0
435,5793.0,99.35,24889.0
436,5816.0,99.74,24946.0
437,5794.0,99.37,25004.0
438,5789.0,99.28,25061.0
439,5788.0,99.26,25118.0
440,5786.0,99.23,25176.0
441,5739.0,98.42,25233.0
442,5787.0,99.25,25290.0
443,5809.0,99.62,25348.0
444,5740.0,98.44,25405.0
445,5763.0,98.84,25462.0
446,5793.0,99.35,25519.0
447,5793.0,99.35,25576.0
448,5794.0,99.37,25633.0
449,5817.0,99.76,25691.0
450,5641.0,96.74,25748.0
451,5690.0,97.58,25805.0
